Date,Open,High,Low,Close,Volume
2013-10-21,2.0,7.8,2.0,6.0,17781
2013-10-22,6.47,6.78,5.81,6.12,3700
2013-10-23,5.9,6.25,5.84,6.25,2200
2013-10-24,6.5,6.5,5.86,5.86,6420
2013-10-25,5.85,5.87,5.7,5.8,3675
2013-10-28,6.0,6.0,6.0,6.0,100
2013-10-29,6.43,6.52,6.0,6.0,2500
2013-10-30,6.75,7.01,6.0,6.0,3825
2013-11-01,5.64,5.64,5.1,5.38,400
2013-11-04,5.4,5.41,5.04,5.2,118121
2013-11-05,5.13,5.13,4.83,4.89,108427
2013-11-06,4.93,5.1,4.21,4.43,123867
2013-11-07,4.36,4.36,4.02,4.05,134667
2013-11-08,4.1,4.35,4.0,4.2,108383
2013-11-11,4.16,4.42,4.05,4.06,80595
2013-11-12,4.05,4.05,3.77,3.95,66657
2013-11-13,3.91,3.98,3.37,3.54,135745
2013-11-14,3.41,3.66,3.41,3.55,58194
2013-11-15,3.53,4.28,3.51,4.15,64229
2013-11-18,4.69,5.14,4.1,4.95,177932
2013-11-19,5.4,5.4,4.89,4.98,134523
2013-11-20,5.07,5.1,4.7,4.8,177836
2013-11-21,5.04,5.05,4.7,5.04,23377
2013-11-22,5.46,5.47,4.76,4.93,113398
2013-11-25,4.93,5.25,4.7,4.75,67306
2013-11-26,4.74,5.09,4.68,4.91,71653
2013-11-27,4.94,5.0,4.71,5.0,70190
2013-11-29,5.02,5.17,4.94,5.07,12703
2013-12-02,5.16,5.17,4.68,4.79,46782
2013-12-03,4.77,5.01,4.65,4.92,41094
2013-12-04,5.04,5.05,4.75,4.82,31755
2013-12-05,4.83,4.96,4.71,4.77,27568
2013-12-06,4.85,5.0,4.73,4.9,23115
2013-12-09,4.88,4.99,4.88,4.95,28147
2013-12-10,4.91,4.99,4.76,4.82,36411
2013-12-11,4.81,4.99,4.76,4.82,45360
2013-12-12,4.86,5.0,4.8,4.83,28171
2013-12-13,4.92,4.99,4.81,4.9,19950
2013-12-16,4.94,4.99,4.8,4.95,46599
2013-12-17,4.96,4.96,4.75,4.79,51635
2013-12-18,4.78,4.96,4.75,4.8,28212
2013-12-19,4.8,4.81,4.31,4.38,50645
2013-12-20,4.4,4.86,4.14,4.86,99114
2013-12-23,4.59,4.77,4.42,4.75,31067
2013-12-24,4.6,4.7,4.5,4.68,24259
2013-12-26,4.72,4.88,4.72,4.75,20834
2013-12-27,4.79,4.8,4.54,4.74,16234
2013-12-30,4.71,4.78,4.56,4.66,22713
2013-12-31,4.65,4.88,4.61,4.75,44132
2014-01-02,4.71,4.75,4.54,4.61,34125
2014-01-03,4.6,4.82,4.52,4.78,12179
2014-01-06,4.58,4.87,4.5,4.79,13018
2014-01-07,4.77,4.99,4.66,4.91,40639
2014-01-08,4.92,4.92,4.76,4.87,60358
2014-01-09,4.86,4.86,4.78,4.84,18332
2014-01-10,4.87,4.87,4.75,4.84,15390
2014-01-13,4.9,4.95,4.78,4.83,66703
2014-01-14,4.87,4.95,4.79,4.86,31448
2014-01-15,4.86,4.86,4.78,4.82,26010
2014-01-16,4.66,4.86,4.61,4.74,37128
2014-01-17,4.86,4.89,4.75,4.85,31064
2014-01-21,4.92,4.98,4.75,4.78,85284
2014-01-22,4.81,4.9,4.78,4.86,37183
2014-01-23,4.94,4.94,4.7,4.76,17062
2014-01-24,4.75,4.77,4.59,4.59,33811
2014-01-27,4.62,4.67,4.25,4.28,36273
2014-01-28,4.25,4.38,4.01,4.14,51769
2014-01-29,4.11,4.55,4.11,4.34,36705
2014-01-30,4.4,4.54,4.36,4.48,29857
2014-01-31,4.4,4.4,4.04,4.09,21219
2014-02-03,4.09,4.09,3.9,3.91,27882
2014-02-04,3.9,3.96,3.82,3.88,29362
2014-02-05,4.32,4.32,3.61,3.76,16982
2014-02-06,3.79,3.84,3.67,3.78,14995
2014-02-07,3.77,3.94,3.7,3.9,22333
2014-02-10,4.19,4.25,4.06,4.13,62406
2014-02-11,4.13,4.13,4.0,4.07,14416
2014-02-12,4.13,4.13,3.87,3.95,16590
2014-02-13,3.99,3.99,3.8,3.85,21065
2014-02-14,3.82,3.88,3.78,3.81,10667
2014-02-18,3.89,3.91,3.75,3.87,22827
2014-02-19,3.9,3.99,3.76,3.9,36570
2014-02-20,3.92,4.21,3.81,4.16,18420
2014-02-21,4.25,4.32,4.04,4.19,47192
2014-02-24,4.19,4.39,4.19,4.32,11771
2014-02-25,4.26,4.39,4.25,4.29,22369
2014-02-26,4.4,4.9,4.31,4.55,99743
2014-02-27,4.52,5.03,4.52,4.98,131894
2014-02-28,4.97,5.2,4.79,5.06,111662
2014-03-03,5.03,5.11,5.0,5.09,55858
2014-03-04,5.17,6.29,5.13,6.19,307332
2014-03-05,6.5,9.06,6.5,8.87,1066163
2014-03-06,10.0,10.0,8.12,8.7,685309
2014-03-07,9.12,9.2,8.17,8.48,429619
2014-03-10,8.48,10.3,8.34,9.9,651788
2014-03-11,10.18,10.98,8.77,9.16,603180
2014-03-12,9.08,9.65,8.6,9.51,208101
2014-03-13,9.67,9.95,9.06,9.49,147301
2014-03-14,11.49,11.58,10.11,10.69,1582260
2014-03-17,11.21,11.3,10.4,11.0,351795
2014-03-18,11.09,11.89,9.65,10.01,918361
2014-03-19,9.9,10.75,9.7,10.52,249568
2014-03-20,10.38,10.4,9.81,9.93,205877
2014-03-21,10.05,10.38,9.53,9.64,268685
2014-03-24,9.53,9.55,8.5,8.97,361369
2014-03-25,9.0,9.25,7.7,7.9,451017
2014-03-26,8.37,8.4,7.52,7.63,232588
2014-03-27,7.48,7.6,6.76,7.15,334283
2014-03-28,6.99,7.39,6.93,7.29,102116
2014-03-31,7.42,9.3,7.18,9.07,776283
2014-04-01,9.0,9.33,8.23,9.06,520501
2014-04-02,9.08,9.68,8.43,8.52,294595
2014-04-03,8.55,8.71,8.02,8.19,149425
2014-04-04,8.19,8.38,7.55,8.28,241368
2014-04-07,8.15,8.2,7.75,7.93,110245
2014-04-08,7.86,8.33,7.75,8.09,126111
2014-04-09,8.06,8.99,8.06,8.87,220173
2014-04-10,9.77,9.89,8.59,9.55,725161
2014-04-11,9.5,9.75,8.65,8.81,263074
2014-04-14,8.81,9.03,8.3,8.47,149428
2014-04-15,8.6,9.07,8.15,8.96,286922
2014-04-16,9.1,9.19,8.54,8.7,134714
2014-04-17,8.73,9.55,8.48,9.37,367164
2014-04-21,9.21,10.24,9.21,9.5,464202
2014-04-22,9.43,9.99,9.43,9.86,88136
2014-04-23,9.93,10.37,9.51,9.68,161786
2014-04-24,9.85,9.95,9.5,9.71,149411
2014-04-25,9.71,9.72,9.14,9.42,144876
2014-04-28,9.49,9.5,8.43,8.57,281427
2014-04-29,8.57,8.99,8.57,8.84,90591
2014-04-30,8.84,8.99,8.59,8.65,118254
2014-05-01,8.6,8.84,8.45,8.66,63637
2014-05-02,8.65,8.69,8.3,8.46,75093
2014-05-05,8.35,8.62,8.2,8.41,64297
2014-05-06,8.34,8.49,8.15,8.25,61935
2014-05-07,8.23,8.35,7.7,8.12,134475
2014-05-08,8.12,8.12,7.07,7.28,170157
2014-05-09,7.32,7.42,7.05,7.19,64507
2014-05-12,7.19,7.2,6.5,6.51,201267
2014-05-13,6.51,7.24,6.5,6.71,171545
2014-05-14,6.66,7.01,6.56,6.62,65524
2014-05-15,6.56,6.98,6.33,6.92,92485
2014-05-16,6.87,6.87,6.29,6.54,106962
2014-05-19,6.48,6.82,6.47,6.73,68959
2014-05-20,6.7,7.25,6.7,7.14,102295
2014-05-21,7.23,7.23,6.83,7.01,57068
2014-05-22,6.94,7.32,6.94,7.25,62114
2014-05-23,7.25,7.8,7.2,7.47,61191
2014-05-27,7.51,7.67,7.45,7.55,35977
2014-05-28,7.49,7.54,7.4,7.41,30224
2014-05-29,7.44,7.69,7.4,7.63,55409
2014-05-30,7.67,7.88,7.41,7.7,72225
2014-06-02,7.44,7.84,7.42,7.76,58287
2014-06-03,7.76,7.86,7.5,7.75,49571
2014-06-04,7.69,8.08,7.69,8.01,62661
2014-06-05,8.0,9.0,8.0,9.0,121386
2014-06-06,9.11,9.4,8.81,9.38,127640
2014-06-09,9.38,9.8,9.21,9.72,82207
2014-06-10,9.63,9.76,8.9,9.58,113844
2014-06-11,9.19,9.73,9.19,9.67,77968
2014-06-12,9.74,9.74,9.42,9.51,231533
2014-06-13,9.56,9.75,8.8,8.92,69255
2014-06-16,8.96,9.41,8.96,9.31,46741
2014-06-17,9.35,9.58,9.17,9.44,69762
2014-06-18,9.4,9.41,9.25,9.39,53295
2014-06-19,9.44,9.77,9.25,9.68,75619
2014-06-20,9.74,9.99,9.37,9.49,132375
2014-06-23,9.33,9.59,8.96,9.49,60967
2014-06-24,9.43,10.1,9.38,9.42,133543
2014-06-25,9.32,9.67,9.25,9.41,73160
2014-06-26,9.52,9.67,9.16,9.17,58699
2014-06-27,9.19,9.64,9.11,9.48,845997
2014-06-30,9.5,10.74,9.5,10.45,280506
2014-07-01,10.45,10.82,9.8,9.84,106115
2014-07-02,9.8,9.95,9.51,9.68,58119
2014-07-03,9.73,9.73,9.5,9.63,8489
2014-07-07,9.7,9.72,9.36,9.47,40958
2014-07-08,9.4,9.58,9.15,9.21,106408
2014-07-09,9.2,9.35,8.54,8.75,148382
2014-07-10,8.51,8.89,8.31,8.71,56001
2014-07-11,8.66,9.18,8.6,8.73,59575
2014-07-14,8.78,9.01,8.77,8.83,45215
2014-07-15,8.8,8.87,8.33,8.53,51031
2014-07-16,8.55,8.91,8.26,8.55,53741
2014-07-17,8.58,8.58,8.15,8.24,70337
2014-07-18,8.23,8.42,8.23,8.29,29810
2014-07-21,8.17,8.94,8.05,8.09,42965
2014-07-22,8.12,8.43,8.0,8.0,46099
2014-07-23,8.0,8.28,8.0,8.14,26539
2014-07-24,8.2,8.77,7.92,7.98,50026
2014-07-25,8.0,8.18,7.9,8.02,53289
2014-07-28,8.18,8.51,7.8,7.84,40194
2014-07-29,7.84,7.89,7.58,7.75,30102
2014-07-30,8.03,8.04,7.63,7.73,21500
2014-07-31,7.57,7.7,7.22,7.34,47369
2014-08-01,7.24,7.47,7.01,7.04,34959
2014-08-04,7.2,7.23,6.61,6.7,38624
2014-08-05,6.63,7.0,6.55,6.96,30778
2014-08-06,6.88,7.7,6.86,7.64,48388
2014-08-07,7.75,7.76,7.12,7.2,35779
2014-08-08,7.28,7.28,6.9,7.09,27726
2014-08-11,7.16,7.2,7.03,7.1,17048
2014-08-12,7.05,7.05,6.93,6.97,33351
2014-08-13,7.2,7.87,6.98,7.76,52016
2014-08-14,7.89,8.13,7.78,8.02,28727
2014-08-15,8.05,8.26,7.72,7.93,58790
2014-08-18,8.0,8.08,7.86,7.99,15465
2014-08-19,7.67,8.71,7.67,8.49,57365
2014-08-20,8.49,8.49,7.82,8.26,20663
2014-08-21,8.21,8.36,8.06,8.3,21093
2014-08-22,8.5,8.76,8.5,8.5,46327
2014-08-25,8.6,8.96,8.4,8.53,62906
2014-08-26,8.6,8.65,8.47,8.58,28103
2014-08-27,8.64,8.84,8.5,8.53,34891
2014-08-28,8.45,8.51,8.4,8.5,9445
2014-08-29,8.59,8.85,8.51,8.78,30328
2014-09-02,8.71,8.78,8.45,8.74,28522
2014-09-03,8.73,8.75,8.09,8.28,43306
2014-09-04,8.34,8.34,7.51,7.58,76505
2014-09-05,7.59,8.18,7.55,8.0,57396
2014-09-08,8.22,8.25,7.92,8.08,28387
2014-09-09,8.1,8.33,8.0,8.09,32026
2014-09-10,8.14,8.19,7.99,8.19,12288
2014-09-11,8.2,8.27,8.05,8.27,14899
2014-09-12,8.25,8.26,7.91,8.26,10354
2014-09-15,8.12,8.19,7.93,8.08,22030
2014-09-16,8.02,8.16,7.95,8.16,17766
2014-09-17,8.1,8.49,8.1,8.35,37642
2014-09-18,8.4,8.53,8.4,8.42,24715
2014-09-19,8.41,8.74,8.2,8.74,47243
2014-09-22,8.47,8.5,7.97,8.13,23737
2014-09-23,8.05,8.17,7.96,8.05,22184
2014-09-24,8.1,8.4,7.96,7.98,26462
2014-09-25,7.99,8.26,7.99,8.06,7768
2014-09-26,8.16,8.19,8.0,8.0,9576
2014-09-29,7.98,8.12,7.95,7.96,19395
2014-09-30,7.96,8.12,7.95,8.1,31981
2014-10-01,8.0,8.0,7.25,7.32,44460
2014-10-02,7.3,7.5,7.26,7.26,17925
2014-10-03,7.29,7.29,7.0,7.08,16055
2014-10-06,7.06,7.1,7.0,7.01,10897
2014-10-07,6.98,7.01,6.61,6.68,35214
2014-10-08,6.7,6.83,6.6,6.65,13391
2014-10-09,6.66,6.99,6.55,6.59,10552
2014-10-10,6.55,7.4,6.55,6.59,10752
2014-10-13,6.55,6.84,6.27,6.43,36265
2014-10-14,6.5,6.55,5.75,5.81,52407
2014-10-15,5.81,5.81,5.02,5.13,60569
2014-10-16,5.12,5.92,5.12,5.81,31330
2014-10-17,5.92,6.3,5.79,6.28,16868
2014-10-20,6.4,6.4,6.0,6.29,16478
2014-10-21,6.5,6.5,6.37,6.4,24027
2014-10-22,6.45,6.45,6.33,6.4,7493
2014-10-23,6.45,6.68,6.41,6.59,11535
2014-10-24,6.59,6.59,6.18,6.26,57608
2014-10-27,6.32,6.32,6.0,6.0,11212
2014-10-28,6.0,6.04,5.5,5.54,52081
2014-10-29,5.62,6.04,5.55,5.95,36276
2014-10-30,6.04,6.21,5.92,6.21,12613
2014-10-31,6.27,6.29,6.01,6.28,16737
2014-11-03,6.25,6.26,5.98,6.21,11596
2014-11-04,5.93,6.11,5.81,6.01,13426
2014-11-05,6.01,6.25,5.97,6.04,23689
2014-11-06,5.98,6.14,5.95,6.02,34497
2014-11-07,6.06,6.16,5.96,6.16,8094
2014-11-10,6.1,6.23,5.9,6.01,30335
2014-11-11,5.95,6.03,5.49,5.5,55400
2014-11-12,5.48,5.73,5.48,5.53,29884
2014-11-13,5.61,5.88,5.41,5.6,41959
2014-11-14,5.64,5.7,5.43,5.48,12096
2014-11-17,5.45,5.45,5.02,5.11,39923
2014-11-18,5.11,5.15,4.76,4.8,61176
2014-11-19,4.78,4.8,4.6,4.65,20994
2014-11-20,4.65,4.77,4.51,4.66,22653
2014-11-21,4.67,4.77,4.64,4.72,32842
2014-11-24,4.76,4.76,4.48,4.5,36437
2014-11-25,4.44,4.44,3.99,4.01,63426
2014-11-26,3.99,4.03,3.28,3.62,153884
2014-11-28,3.61,3.61,3.39,3.39,33135
2014-12-01,3.35,3.88,3.29,3.73,58021
2014-12-02,3.89,4.08,3.75,3.87,50620
2014-12-03,3.88,3.97,3.85,3.91,42523
2014-12-04,3.96,4.15,3.91,4.04,45019
2014-12-05,4.13,4.13,3.83,3.87,44074
2014-12-08,3.98,3.98,3.24,3.3,110415
2014-12-09,3.28,3.57,3.2,3.46,59216
2014-12-10,3.41,3.7,3.31,3.51,68964
2014-12-11,3.55,3.62,3.52,3.53,56130
2014-12-12,3.53,3.53,3.33,3.45,44169
2014-12-15,3.5,3.5,3.29,3.3,38081
2014-12-16,3.29,3.34,2.88,3.0,213300
2014-12-17,2.92,3.22,2.54,2.55,183170
2014-12-18,2.65,2.97,2.2,2.53,516062
2014-12-19,2.43,3.0,2.39,2.92,127999
2014-12-22,3.1,3.21,2.94,3.14,80062
2014-12-23,3.07,3.21,3.0,3.15,81647
2014-12-24,3.13,3.26,3.05,3.1,39849
2014-12-26,3.12,3.13,2.9,2.9,46273
2014-12-29,2.95,3.05,2.95,2.98,37757
2014-12-30,2.91,3.11,2.85,3.06,36173
2014-12-31,3.0,3.18,2.98,3.18,35993
2015-01-02,3.18,3.46,3.06,3.44,46128
2015-01-05,3.5,3.84,3.29,3.72,73296
2015-01-06,3.84,3.84,3.4,3.76,59019
2015-01-07,4.08,4.1,3.64,3.93,95924
2015-01-08,3.94,4.06,3.81,3.81,30190
2015-01-09,3.78,3.85,3.68,3.79,21531
2015-01-12,3.73,3.88,3.62,3.82,40081
2015-01-13,3.93,3.93,3.71,3.79,17263
2015-01-14,3.66,3.73,3.52,3.56,12246
2015-01-15,3.54,3.54,3.28,3.32,18552
2015-01-16,3.28,3.46,3.25,3.27,17467
2015-01-20,3.21,3.45,3.12,3.14,48994
2015-01-21,3.24,3.44,3.12,3.19,61002
2015-01-22,3.3,3.39,3.12,3.21,35642
2015-01-23,3.12,3.28,3.07,3.09,30551
2015-01-26,3.17,3.22,3.0,3.14,38790
2015-01-27,3.23,3.23,3.14,3.2,16992
2015-01-28,3.29,3.29,3.15,3.19,8814
2015-01-29,3.11,3.19,3.05,3.19,3018
2015-01-30,3.12,3.25,3.12,3.25,5400
2015-02-02,3.21,3.21,2.7,2.81,108865
2015-02-03,2.8,2.81,2.52,2.6,87689
2015-02-04,2.67,2.67,2.5,2.56,41315
2015-02-05,2.62,2.63,2.34,2.43,54591
2015-02-06,2.37,2.45,2.33,2.41,17708
2015-02-09,2.31,2.41,2.31,2.34,44925
2015-02-10,2.36,2.42,2.25,2.27,39466
2015-02-11,2.3,2.3,1.85,1.89,116150
2015-02-12,1.99,2.65,1.95,2.58,639381
2015-02-13,2.76,3.05,2.65,2.92,386168
2015-02-17,3.15,3.79,2.98,3.36,1265232
2015-02-18,3.45,3.65,3.18,3.58,410538
2015-02-19,3.38,3.67,3.34,3.58,239096
2015-02-20,3.65,3.65,3.21,3.32,195362
2015-02-23,3.1,3.18,2.93,3.04,184564
2015-02-24,2.99,3.13,2.86,3.09,121723
2015-02-25,3.15,3.37,3.1,3.32,74455
2015-02-26,3.4,3.42,3.29,3.39,96296
2015-02-27,3.41,3.86,3.24,3.67,361067
2015-03-02,3.91,4.18,3.7,4.15,403545
2015-03-03,4.2,4.36,4.1,4.14,131412
